id,学科,知识点,置信度,问题描述,定义原文,详解原文,修正后定义,验收结果
DL_RJ_G1_B1_DQDQ_001,地理,大气垂直分层特点,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,大气自下而上分为对流层、平流层和高层大气，各层温度变化与运动特点不同。,大气垂直分层你按从下到上记三层：对流层高度最低，气温随高度增加而降低，对流运动显著，天气现象复杂多变，与人类关系最密切；平流层气温随高度升高而升高，大气以水平运动为主，利于高空飞行，含臭氧层；高层大气气温先降后升，电离层能反射无线电波。答题常考各层特点与人类活动的关系。,,
DL_RJ_G1_B1_DQDQ_002,地理,大气对太阳辐射的削弱,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,大气通过吸收、反射和散射削弱太阳辐射，散射使天空呈蔚蓝色。,大气对太阳辐射的削弱作用你记三种方式：吸收作用，臭氧吸收紫外线、水汽和二氧化碳吸收红外线；反射作用，云层和较大尘埃反射太阳辐射，阴天白天温度较低；散射作用，空气分子把太阳辐射向四面八方散射，蓝光散射最多使天空呈蔚蓝色。答题常考削弱方式与现象的对应，如日出日落天空呈红色。,,
DL_RJ_G1_B1_DQDQ_003,地理,大气对地面的保温作用,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,地面辐射是大气增温的直接热源，大气逆辐射把热量还给地面起保温作用。,大气保温作用的过程你理清热力链条：太阳辐射大部分穿过大气到达地面，地面吸收后升温并向外辐射地面辐射；大气吸收地面辐射后增温，再以大气逆辐射形式把热量返还地面，从而减少地面热量散失。你记结论：地面是近地面大气主要、直接的热源，大气逆辐射起保温作用，多云的夜晚大气逆辐射强。答题常考保温作用原理的应用，如温室效应。,,
DL_RJ_G1_B1_DQDQ_004,地理,热力环流的形成原理,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,地面冷热不均引起空气垂直运动，导致同一水平面气压差异，形成热力环流。,热力环流是大气运动最简单的形式，你记形成过程：地面受热多的地方空气膨胀上升，近地面形成低压、高空形成高压；地面受热少的地方空气收缩下沉，近地面形成高压、高空形成低压；同一水平面上气压差异促使空气从高压流向低压，形成闭合环流。答题常考等压面的弯曲方向，高压处等压面向高空凸起。,,
DL_RJ_G1_B1_DQDQ_005,地理,风的方向与等压线,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,水平气压梯度力是形成风的直接原因，风向受地转偏向力和摩擦力影响。,风的形成你抓三个力：水平气压梯度力是形成风的直接动力，方向垂直于等压线由高压指向低压；地转偏向力使风向偏转，北半球右偏南半球左偏；摩擦力减小风速并影响风向。近地面风受三个力作用，风向斜穿等压线；高空风只受气压梯度力和地转偏向力，风向与等压线平行。答题常考风向判断与等压线疏密反映风速大小。,,
DL_RJ_G1_B1_DQDQ_006,地理,气压带风带的分布,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,全球形成七个气压带和六个风带，赤道低气压带由热力原因形成。,全球气压带风带你记分布规律：赤道低气压带和极地高气压带由热力原因形成，副热带高气压带和副极地低气压带由动力原因形成。气压带风带随太阳直射点南北移动，北半球夏季北移、冬季南移。风带中低纬信风带、中纬西风带风向受地转偏向力影响。答题常考气压带成因分类与风带风向。,,
DL_RJ_G1_B1_DQDQ_007,地理,季风环流的形成,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,东亚季风由海陆热力性质差异形成，南亚季风还受气压带风带季节移动影响。,季风环流你记成因与风向：东亚季风主要由海陆热力性质差异引起，冬季盛行西北风寒冷干燥，夏季盛行东南风温暖湿润；南亚夏季风除海陆差异外还受气压带风带季节移动影响，夏季风更强。季风气候的特点是夏季高温多雨、雨热同期，有利于农业生产。答题常考季风成因与冬夏季风风向。,,
DL_RJ_G1_B1_DQDQ_008,地理,常见天气系统,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,冷锋、暖锋、气旋和反气旋是常见天气系统，冷锋带来大风降温雨雪天气。,常见天气系统你记三类：锋面系统，冷锋过境时常出现大风、降温、雨雪天气，如寒潮；暖锋过境后气温升高、天气转晴。低压（气旋）系统中心气流上升，多阴雨天气，如台风；高压（反气旋）系统中心气流下沉，多晴朗天气，如长江流域伏旱。答题常考锋面过境前后的天气变化及气旋反气旋的气流与天气。,,
DL_RJ_G1_B1_DQDQ_009,地理,气候类型的成因与分布,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,气候类型由太阳辐射、大气环流、下垫面和人类活动等因素共同影响形成。,气候类型的成因你抓主导因素：太阳辐射决定热量带的分布；大气环流影响降水的分布，如受副热带高压控制降水少形成热带沙漠气候，受西风控制降水多形成温带海洋性气候；下垫面包括海陆位置、地形、洋流等影响气候差异。答题常考气候类型与成因的对应，如地中海气候受副高和西风带交替控制。,,
DL_RJ_G1_B1_DQSD_001,地理,水循环的过程与环节,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,水循环包括蒸发、水汽输送、降水、下渗、径流等环节，分为海陆间循环等类型。,水循环你记三大类型与环节：海陆间循环是最重要的循环，包括蒸发、水汽输送、降水、地表径流、下渗、地下径流等环节，使陆地水得到补充更新；陆地内循环发生在陆地上空与陆地之间；海上内循环发生在海洋上。人类活动主要影响地表径流，如修建水库、跨流域调水。答题常考环节名称与人类活动影响的环节。,,
DL_RJ_G1_B1_DQSD_002,地理,水循环的地理意义,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,水循环维持全球水量平衡，更新陆地淡水资源，塑造地表形态并促进物质迁移。,水循环的地理意义你记四点：使陆地水不断得到补充和更新，维持全球水量平衡；促进地球上各种水体的更新，是海陆间联系的纽带；通过径流和流水侵蚀搬运塑造地表形态；促进物质迁移和能量交换，如水流搬运泥沙。答题常考水循环对淡水更新的意义以及水量平衡的维持。,,
DL_RJ_G1_B1_DQSD_003,地理,海水温度的分布规律,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,海水温度随纬度增高而降低，同一海区夏季高于冬季，受洋流影响而有差异。,海水温度的分布规律你从三方面记：水平分布上，表层海水温度从赤道向两极递减，主要受太阳辐射影响；垂直分布上，随深度增加而降低，深层海水温度变化小；时间分布上，同一海区夏季水温高于冬季。此外暖流经过的海区水温偏高，寒流经过的海区水温偏低。答题常考温度分布与太阳辐射、洋流的关系。,,
DL_RJ_G1_B1_DQSD_004,地理,海水盐度的分布规律,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,海水盐度从副热带海区向高低纬递减，影响盐度的因素有蒸发降水河流入海等。,海水盐度的分布你抓规律与影响因素：表层海水盐度从副热带海区向赤道和两极递减，因为副热带海区蒸发量大降水少盐度高，赤道海区降水多盐度相对较低。影响盐度的因素包括蒸发量与降水量关系、河流入海淡水、洋流以及海域封闭程度。答题常考盐度曲线高低值的位置及成因分析。,,
DL_RJ_G1_B1_DQSD_005,地理,洋流的分类与成因,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,洋流分暖流和寒流，按成因分为风海流、密度流和补偿流。,洋流你分两个维度记：按性质分为暖流（从水温高的海区流向水温低的海区）和寒流（从水温低的海区流向水温高的海区）；按成因分为风海流，由盛行风吹拂形成，如西风漂流；密度流，由海水密度差异形成，如直布罗陀海峡洋流；补偿流，由海水流失补充形成，如秘鲁寒流。答题常考洋流性质判断与成因分类。,,
DL_RJ_G1_B1_DQSD_006,地理,世界洋流分布规律,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,中低纬海区形成以副热带为中心的反气旋型洋流，北半球顺时针南半球逆时针。,世界洋流分布你抓两条规律：中低纬海区形成以副热带海区为中心的大洋环流，北半球呈顺时针方向、南半球呈逆时针方向，大陆东岸为暖流西岸为寒流；中高纬海区以副极地为中心的大洋环流，北半球呈逆时针，大陆东岸为寒流西岸为暖流。答题常考洋流方向与寒暖流分布判断。,,
DL_RJ_G1_B1_DQSD_007,地理,洋流对地理环境的影响,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,洋流影响沿岸气候，暖流增温增湿寒流降温减湿，还影响渔场分布和航行。,洋流的地理影响你记四个方面：气候上，暖流对沿岸增温增湿，如北大西洋暖流使西欧温和湿润；寒流降温减湿，如秘鲁寒流使南美西海岸干燥。渔场上，寒暖流交汇处或上升流海区形成渔场，如北海道渔场、纽芬兰渔场、秘鲁渔场。此外洋流影响海洋航行速度和污染物扩散。答题常考渔场成因与气候影响。,,
DL_RJ_G1_B1_DQSD_008,地理,海水的运动形式,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,海水运动形式包括波浪、潮汐和洋流，潮汐由月球和太阳引力引起。,海水运动你记三种形式：波浪是海水在风力等作用下形成的起伏运动，海浪对海岸有侵蚀作用；潮汐是海水在月球和太阳引力作用下发生的周期性涨落，一天两次涨落，大潮出现在朔望时；洋流是海水常年大规模流动。答题常考潮汐成因与大潮小潮的时间，以及波浪的侵蚀作用。,,
DL_RJ_G1_B1_YZDQ_001,地理,天体系统的层次结构,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,天体系统由低级到高级分为地月系、太阳系、银河系、可观测宇宙，地球属太阳系。,宇宙中的天体相互吸引、相互绕转，形成天体系统。你按从低级到高级的顺序记：地月系（地球与月球）→太阳系（太阳、行星及卫星等）→银河系（太阳系所在星系）→可观测宇宙。地球是太阳系中的一颗行星，太阳系又是银河系的一部分。答题常考天体系统的层次排序以及地球所属的天体系统层级。,,
LS_G1_B1_GG_002,历史,家庭联产承包责任制,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,农村改革中实行包干到户，调动农民生产积极性的经营制度。,改革开放首先从农村开始，安徽凤阳小岗村率先实行“包干到户”，进而发展为家庭联产承包责任制，在坚持土地集体所有的前提下，把经营权交给农户。你要理解它的实质：没有改变土地公有性质，只是改革经营方式，把农民劳动与收益直接挂钩，极大地调动了生产积极性、解放了农村生产力。答题常考它“包产到户”的形式和“土地仍归集体所有”这一易错点，务必分清所有权与经营权。,,
LS_G1_B1_GG_003,历史,城市经济体制改革,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,以增强企业活力为中心，扩大企业经营自主权的城市改革。,农村改革取得成效后，改革重点转向城市。1984年城市经济体制改革全面展开，中心环节是增强企业活力，通过扩大企业经营自主权、实行多种所有制经济共同发展，改变过去高度集中的计划经济管理体制。你要理解城市改革的关键是“放权让利”，让企业从政府附属物变成自主经营的市场主体。答题常考改革中心环节、所有制结构的调整，以及它与农村改革共同构成对内搞活的两翼。,,
LS_G1_B1_GG_004,历史,经济特区的设立,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,1980年起设立深圳等经济特区，作为对外开放的窗口和试验田。,1980年我国在深圳、珠海、汕头、厦门设立经济特区，1988年又增设海南经济特区。你要理解经济特区的功能：它不是政治特区，而是在经济上实行特殊政策、灵活措施，引进外资、先进技术和管理经验的“窗口”与“试验田”。深圳从边陲小镇发展为现代化都市是成功的缩影。答题常考特区的时间、名称，以及“窗口、试验田”的定位，特别注意特区仍坚持社会主义制度，不是租界。,,
LS_G1_B1_GG_005,历史,对外开放格局的形成,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,由经济特区到沿海开放城市再到内地，形成全方位多层次宽领域格局。,我国对外开放是渐进推进的：从经济特区起步，接着开放沿海港口城市，建立沿海经济开放区，再扩展到沿江、沿边和内陆省会城市，最终形成全方位、多层次、宽领域的对外开放格局。你要记住这个“由点到线、由线到面”的推进顺序，它是我国对外开放的鲜明特点。答题常考格局的表述“全方位、多层次、宽领域”，以及特区—沿海开放城市—沿海经济开放区—内地这一递进层次。,,
LS_G1_B1_GG_006,历史,经济体制目标确立,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,1992年中共十四大明确提出建立社会主义市场经济体制的目标。,1992年中共十四大明确提出我国经济体制改革的目标是建立社会主义市场经济体制。你要理解这一目标的意义：它把社会主义制度与市场经济结合起来，突破了把计划经济等同于社会主义的传统观念，是改革开放的重大突破。答题常考十四大提出的这一目标，以及它与后来确立市场经济基本框架、加入世贸组织之间的递进关系。记住“社会主义”与“市场经济”两者不是对立而是可以结合，这是理解中国道路的关键。,,
LS_G1_B1_GG_009,历史,香港澳门的回归,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,1997年香港、1999年澳门相继回归祖国，洗雪了百年国耻。,1997年7月1日中国恢复对香港行使主权，1999年12月20日恢复对澳门行使主权，两地分别成立特别行政区。你要理解这是“一国两制”构想的成功实践，洗雪了近代以来的百年国耻，标志着我国在完成祖国统一大业的道路上迈出重要一步。答题常考回归的时间、所依据的构想，以及其作为解决历史遗留问题成功范例的意义。注意回归是“恢复行使主权”，不是“重新割让”，这体现主权从未丧失的立场。,,
LS_G1_B1_GG_010,历史,中国特色社会主义理论,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,包括邓小平理论、三个代表、科学发展观等一脉相承的理论成果。,改革开放以来，中国共产党把马克思主义基本原理同中国具体实际相结合，先后形成邓小平理论、“三个代表”重要思想、科学发展观，构成中国特色社会主义理论体系。你要把握它们“一脉相承、与时俱进”的关系：都围绕什么是社会主义、怎样建设社会主义等根本问题展开，又根据时代条件不断丰富发展。答题常考各理论先后顺序及其共同主题，注意习近平新时代中国特色社会主义思想是这一体系的继承和发展，回答时不要遗漏。,,
LS_G1_B1_GG_011,历史,改革开放的主要成就,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,经济高速增长、综合国力显著增强、人民生活明显改善的伟大成就。,改革开放以来我国取得举世瞩目的成就：经济持续快速增长，成为世界第二大经济体；基础设施建设突飞猛进；科技、教育、文化等各项事业全面发展；人民生活水平显著提高。你要理解成就的根源在于坚持中国特色社会主义道路、坚持改革开放。答题常考成就的具体表现与取得成就的根本原因，二者要对应。用“综合国力增强、人民生活改善、国际地位提高”三条主线来归纳，就不会遗漏要点。,,
LS_G1_B1_GM_004,历史,中共一大与共产党成立,78,keywords 含“四大会”，语义不明且与本知识点无关，疑为“中共一大”之误（关键词“四大会”错误/无关，应为中共一大）,中共一大确定党的名称、奋斗目标和领导工人运动的中心工作，标志中国共产党诞生。,1921年7月中共一大在上海秘密召开，后因遭搜查转至浙江嘉兴南湖游船继续举行。你牢记会议确定的三项内容：确立党的名称为中国共产党；明确推翻资产阶级政权、实现社会主义和共产主义的奋斗目标；把组织和领导工人运动作为中心工作。会议还选举了领导机构。中共的诞生是开天辟地的大事变，此后中国革命面貌焕然一新。备考时要盯紧时间、地点与基本内容，别把一大的细节与其他会议混淆。,,
LS_G1_B1_GM_008,历史,南昌起义的爆发,78,explanation “摆在1927年”表述不通，应为“爆发于1927年”或“发生在1927年”（explanation 措辞错误，学生读不懂）,南昌起义打响武装反抗国民党统治第一枪，是中国共产党独立领导武装斗争的开端。,摆在1927年，为挽救革命，中国共产党在南昌发动武装起义。你记住它的首创意义：周恩来等领导这次起义，打响了武装反抗国民党反动统治的第一枪，标志党独立领导武装战争、创建人民军队和武装夺取政权的开始。正因为意义重大，后来把南昌起义的纪念日定为每年8月1日并成为解放军的建军节。复习时要把“第一枪—建军起点—八一起义”三层含义贯通理解。,,
LS_G1_B1_LSJ_005,历史,王安石变法,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,北宋王安石为改变积贫积弱，在财政、军事、取士等方面推行的一系列变法措施。,北宋中期财政危机加深、军队积弱，王安石于神宗年间主持变法。你记变法的目的是“富国强兵”：富国方面有青苗法、募役法、方田均税法等，意在增加财政收入；强兵方面有保甲法、将兵法；取士方面改革科举。变法短期内增加了政府财赋，却触犯大地主官僚利益，加上推行中弊端丛生，最终在阻力下失败。答题常考失败原因，你要能从守旧势力反对、用人不当、执行走样等角度分析，不单归咎于某因素。,,
LS_G1_B1_LSJ_014,历史,元朝的行省制度,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,元朝在中央设中书省，在地方设行中书省（行省）代表中央机构节制地方以加强集权。,元朝疆域辽阔，为加强中央集权，在中央设立中书省，在地方设立行中书省（行省）作为中书省的派出机构，负责地方军政财赋，腹里之外设多个行省。你抓关键：行省制是地方最高行政单位，代表中央节制地方，既利于统一管理辽阔疆域，又防止地方尾大不掉，是今天省制的渊源。它上承唐宋下启明清，答题常考其对加强集权、维护统一和影响后世省制的意义。,,
LS_G1_B1_MRJ_006,历史,北方民族交融的表现,78,typical_errors “内迁的鲜卑、氏族等主体”中“氏族”应为“氐族”（五胡之一），系错字；explanation “吸收了胡服、马具、田园生活元素”中“田园生活元素”表述空泛、语焉不详（典型错误用词错误（氐族误作氏族），解释有套话）,各少数民族南迁与汉族杂居，习俗制度相互影响，共同推进北方民族融合。,你要看到民族交融是双向的，不只是汉化。北方不断有匈奴、鲜卑、羯、氐、羌等少数民族内迁，与汉族长期杂居相处；他们学习了汉族的农耕和典章制度，汉族也从少数民族身上吸收了胡服、马具、田园生活元素，孝文帝改革正是这种交融的集中体现。概括交融的表现时，可以从生产生活、语言服饰、婚姻血缘、制度文化四个角度作答，这样层次清晰、不易漏点。,,
LS_G1_B1_XH_005,历史,武昌起义的爆发,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,1911年湖北革命党人发动的武装起义，开启了辛亥革命的序幕。,1911年10月10日，湖北新军中的革命党人发动武昌起义，起义胜利、占领武昌，湖北军政府随之成立。你记武昌起义的直接背景是四川保路运动牵制了清军，革命党人抓住时机发动。它是辛亥革命的起点，成功后全国各省纷纷响应、脱离清廷。答题常考它爆发的时间、地点与主力（湖北新军），以及保路运动这一背景，这几个要素要把对应关系一一理清。,,
LS_G1_B1_XH_006,历史,各省响应与清朝灭亡,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,武昌起义后各省纷纷响应，宣布脱离清廷独立，清朝统治随之瓦解。,在武昌起义胜利的示范下，短短两三个月内，湖南、陕西、江西等多个省份纷纷宣布独立、脱离清廷。你理解“各省响应”要把它看成清朝统治大规模瓦解的外在表现：许多旧官僚、立宪派也趁机投向革命，使形势迅速高涨。1912年2月，宣统帝退位，清王朝宣告结束。答题常考响应省份的规模、各方力量的态度以及清帝退位时间，这三点共同印证了革命影响的广泛与深入。,,
LS_G1_B1_XH_008,历史,《中华民国临时约法》,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,1912年3月颁布的具有资产阶级共和国宪法性质的重要法律文件。,1912年3月孙中山辞去临时大总统前，南京临时政府颁布《中华民国临时约法》。你理解它的地位：是中国历史上第一部具有资产阶级共和国宪法性质的法律文件。内容上它确立了主权在民原则、规定了人民各项权利，并确立责任内阁制以限制即将上任的袁世凯。答题常考它的性质、体现的主权在民与三权分立原则，以及为限制袁世凯而采用责任内阁制，这是理解民国初年政治制度的关键。,,
LS_G1_B1_XH_010,历史,北洋军阀的统治,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,袁世凯称帝后形成以北洋军为支柱的割据、混战的军阀统治局面。,袁世凯1913年成为正式大总统后逐步走向独裁，1915年竟复辟称帝，引发护国运动，最终在众叛亲离中死去。此后北洋军阀分裂，出现直、皖、奉等派系彼此混战、更迭不断的局面。你记北洋军阀统治的特点是军事割据、政局动荡、共和有名无实。答题常考袁世凯称帝的失败、护国运动以及军阀混战带来的社会动荡，这些都说明辛亥革命后民主共和并未真正实现。,,
LS_G1_B1_XSD_002,历史,中国梦的提出,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,实现中华民族伟大复兴的中国梦，基本内涵是国家富强、民族振兴、人民幸福。,实现中华民族伟大复兴的中国梦，其基本内涵是实现国家富强、民族振兴、人民幸福。你要理解中国梦把国家的追求、民族的向往与人民的期盼融为一体，体现了中华民族和中国人民的整体利益。实现中国梦必须走中国道路、弘扬中国精神、凝聚中国力量。答题常考中国梦的内涵三句话，以及“两个一百年”奋斗目标与它的关系。把内涵记成“富、兴、福”三个字，答题就不会漏。,,
LS_G1_B1_XSD_003,历史,新时代指导思想的确立,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,中共十九大确立的马克思主义中国化最新成果，是全党行动指南。,2017年中共十九大把习近平新时代中国特色社会主义思想确立为党必须长期坚持的指导思想并写入党章。你要理解它的地位：是马克思主义中国化的最新成果，是全党全国人民为实现中华民族伟大复兴而奋斗的行动指南。其内容涵盖新时代坚持和发展什么样的中国特色社会主义、怎样坚持和发展等重大问题。答题常考十九大的时间、新思想的地位以及它写入党章这一标志性事件，是新时代最重要的理论成果。,,
LS_G1_B1_XSD_004,历史,全面建成小康社会,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,2021年实现第一个百年奋斗目标，历史性地解决了绝对贫困问题。,2021年在建党一百周年之际，我国实现第一个百年奋斗目标，在中华大地上全面建成了小康社会，历史性地解决了绝对贫困问题。你要理解“全面建成小康”是“两个一百年”奋斗目标的第一个目标，它使中国人民生活水平大幅提高，为全面建设社会主义现代化国家奠定了坚实基础。答题常考全面建成小康的时间、作为第一个百年目标的地位，以及它解决绝对贫困的标志性意义。,,
LS_G1_B1_XSD_005,历史,脱贫攻坚战,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,党的十八大以来精准脱贫，历史性解决绝对贫困的宏大工程。,党的十八大以来，党中央把脱贫攻坚作为全面建成小康社会的底线任务，实施精准扶贫、精准脱贫方略，到2020年底现行标准下农村贫困人口全部脱贫。你要理解其伟大意义：这是人类历史上规模最大的减贫行动，历史性地解决了困扰中华民族几千年的绝对贫困问题，创造了人类减贫史上的奇迹。答题常考“精准扶贫”方略、脱贫完成时间，以及它体现的以人民为中心的发展思想。,,
LS_G1_B1_XSD_006,历史,全面深化改革,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,十八届三中全会作出全面深化改革部署，完善和发展中国特色社会主义制度。,2013年中共十八届三中全会通过《中共中央关于全面深化改革若干重大问题的决定》，明确全面深化改革的总目标是完善和发展中国特色社会主义制度，推进国家治理体系和治理能力现代化。你要理解改革进入“全面深化”新阶段，覆盖经济、政治、文化、社会、生态等各领域。答题常考十八届三中全会的时间、改革总目标的两句话，以及“全面”与以往“重点突破”的区别，这是新时代改革的关键部署。,,
LS_G1_B1_XSD_007,历史,全面从严治党,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,以零容忍态度惩治腐败，把党的政治建设摆在首位的党的建设要求。,全面从严治党是“四个全面”战略布局的重要内容，要求以党的政治建设为统领，加强思想建设、组织建设、作风建设、纪律建设，把制度建设贯穿其中，深入推进反腐败斗争。你要理解它抓住了管党治党的根本，使党的自我净化、自我完善能力显著增强。答题常考全面从严治党的地位、政治建设摆在首位，以及其与反腐败斗争的关系，注意“四个全面”要整体记忆。,,
LS_G1_B1_XSD_008,历史,中国式现代化,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,人口规模巨大、全体人民共同富裕的现代化，是中国的现代化新道路。,中国式现代化是中国共产党领导的社会主义现代化，具有人口规模巨大、全体人民共同富裕、物质文明和精神文明相协调、人与自然和谐共生、走和平发展道路等特征。你要理解它既具有各国现代化的共同特征，又立足中国国情，打破了“现代化等于西方化”的迷思。答题常考中国式现代化的本质特征、党的领导这一根本保证，以及它创造人类文明新形态的意义，这是理解新时代发展道路的核心概念。,,
LS_G1_B1_XSD_009,历史,新时代的历史性成就,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,经济科技国防等领域取得历史性成就，综合国力迈上新的台阶。,进入新时代以来，我国在经济、科技、国防、外交等各领域取得历史性成就：经济总量稳居世界第二，关键核心技术不断突破，国防和军队改革深入推进，打赢脱贫攻坚战，全面建成小康社会。你要理解这些成就是全党全国人民团结奋斗的结果，集中体现了中国特色社会主义制度的优越性。答题常考成就的具体领域，以及成就背后体现的制度自信，用“综合国力提升、制度优势彰显”来概括不会偏。,,
LS_G1_B1_XSD_010,历史,新时代的重大意义,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,中国特色社会主义新时代为实现中华民族伟大复兴提供了更为完善的制度保证。,中国特色社会主义进入新时代，意味着中华民族迎来了从站起来、富起来到强起来的伟大飞跃，意味着中国特色社会主义道路、理论、制度、文化不断发展，意味着为解决人类问题贡献了中国智慧和中国方案。你要理解“三个意味着”层层递进：民族维度讲飞跃，制度维度讲自信，世界维度讲贡献。答题常考“三个意味着”的内容，以及新时代为民族复兴提供的制度、物质、精神保证。,,
LS_G1_B1_XZ_010,历史,中共八大正确探索,78,explanation 含模板套话'答题常考'结尾句（结尾'答题常考…'为库级统一模板套话，机械复述前文、无教学增量，需改写去除。）,1956年中共八大正确分析主要矛盾，制定集中发展生产力的经济建设方针。,1956年中共八大召开，正确分析了国内主要矛盾已由阶级矛盾转变为人民对于建立先进工业国的要求同落后农业国的现实之间的矛盾，指出主要任务是集中力量发展生产力，把我国从落后的农业国变为先进的工业国。你要理解八大是探索社会主义建设的良好开端，其论断符合国情、方向正确，但后来未能坚持。答题常考八大提出的主要矛盾与主要任务，这是理解曲折发展前“正确起点”的关键。,,
